iter	MultiClass
0	1.697511741
1	1.539118151
2	1.419302594
3	1.32562238
4	1.246616049
5	1.180779071
6	1.127378557
7	1.079634491
8	1.037534611
9	0.9975145986
10	0.964700793
11	0.9346832278
12	0.9066584053
13	0.8846478931
14	0.8624159855
15	0.8417241237
16	0.8207402074
17	0.805097706
18	0.7914144413
19	0.7777297652
20	0.7641813677
21	0.7507433194
22	0.7384427575
23	0.7284268759
24	0.7190194823
25	0.7101611428
26	0.7017340657
27	0.6929566809
28	0.685995418
29	0.6809771933
30	0.6735221971
31	0.666971522
32	0.661365029
33	0.6556350933
34	0.6509499022
35	0.6451345831
36	0.6404534014
37	0.6357710406
38	0.6321408303
39	0.6276425943
40	0.6245739186
41	0.621467221
42	0.6164513278
43	0.6124221676
44	0.6085744257
45	0.6046287204
46	0.6007152264
47	0.5986234546
48	0.595875025
49	0.5927948462
50	0.5897496593
51	0.5871018035
52	0.5845066428
53	0.5823232886
54	0.5807671642
55	0.5773378791
56	0.574035212
57	0.5704982414
58	0.5683835327
59	0.5670258545
60	0.5654539207
61	0.5637505037
62	0.5610892943
63	0.5587747647
64	0.5562004865
65	0.5546147128
66	0.5533387945
67	0.5515207681
68	0.5502079129
69	0.54800136
70	0.5455890287
71	0.5438446017
72	0.5419129222
73	0.5396496715
74	0.5387239296
75	0.5369674823
76	0.5349180922
77	0.5336946141
78	0.5326049592
79	0.5305844816
80	0.52918546
81	0.5272419693
82	0.5256323773
83	0.5236040713
84	0.5220698711
85	0.5214239326
86	0.5203603757
87	0.5187302521
88	0.5176532384
89	0.5160795306
90	0.5152692975
91	0.5140112117
92	0.5128715061
93	0.5118675796
94	0.5109692139
95	0.5099264923
96	0.5087055235
97	0.5069233754
98	0.5058802725
99	0.5051305066
100	0.5036664456
101	0.502020798
102	0.5010241596
103	0.4997961875
104	0.4988006834
105	0.4979147542
106	0.4969612397
107	0.4959775869
108	0.4947377675
109	0.4932728071
110	0.4924839296
111	0.4913502201
112	0.4909274666
113	0.4900639943
114	0.4892120948
115	0.4884020898
116	0.4875244048
117	0.4868886519
118	0.4852240349
119	0.4845941147
120	0.4838734782
121	0.4825550171
122	0.4817786683
123	0.4811362276
124	0.4806908632
125	0.4795935677
126	0.4788266572
127	0.4783130808
128	0.4775811212
129	0.476821974
130	0.4759216084
131	0.4753220554
132	0.4743198638
133	0.4736880545
134	0.4730016272
135	0.4717790673
136	0.4712363211
137	0.4705276471
138	0.4694061333
139	0.4689218265
140	0.4685996013
141	0.4678288336
142	0.4670069161
143	0.4662308078
144	0.4655220437
145	0.4649663973
146	0.4643728243
147	0.4636194466
148	0.4632077713
149	0.4625555717
150	0.4615470817
151	0.4605967297
152	0.4595982149
153	0.4591067319
154	0.4584472933
155	0.4576956831
156	0.4566956637
157	0.4564317814
158	0.4558663308
159	0.4549271983
160	0.4543116059
161	0.4532378462
162	0.4526341872
163	0.4522458792
164	0.4517169608
165	0.4507578331
166	0.4504466224
167	0.449714179
168	0.4494525863
169	0.4486869069
170	0.4483836374
171	0.4477971026
172	0.4473070461
173	0.4469884481
174	0.4461613442
175	0.4453385409
176	0.4444890909
177	0.4439460508
178	0.443577178
179	0.4429276827
180	0.4426322699
181	0.4419222381
182	0.4412994367
183	0.4408428491
184	0.4402542595
185	0.4398361762
186	0.4394204033
187	0.4386652599
188	0.4384539824
189	0.4379867208
190	0.4376703395
191	0.4374075102
192	0.4370085826
193	0.4366910506
194	0.4362449112
195	0.4359047099
196	0.4354402763
197	0.4350398018
198	0.4346315283
199	0.433940092
200	0.43370627
201	0.4335155875
202	0.4329257746
203	0.4323945884
204	0.4320167167
205	0.4317360993
206	0.4312832976
207	0.430954465
208	0.430523325
209	0.4302578003
210	0.4298124712
211	0.4293485007
212	0.4289512425
213	0.4279557625
214	0.4278291213
215	0.4273111453
216	0.426953192
217	0.4264322117
218	0.4259909994
219	0.4254316425
220	0.4248512141
221	0.4246033352
222	0.4243806757
223	0.424065911
224	0.4237153051
225	0.4234203437
226	0.4225143285
227	0.4220844774
228	0.4216162104
229	0.4213971261
230	0.4211681508
231	0.4208048066
232	0.4205050867
233	0.4202944044
234	0.4200820574
235	0.4194499742
236	0.4191639998
237	0.4186185628
238	0.4184806783
239	0.41823128
240	0.4174403671
241	0.4169637229
242	0.4166701797
243	0.4160849487
244	0.4158995631
245	0.415786905
246	0.4154801766
247	0.4153795027
248	0.4148536887
249	0.4144486788
250	0.4142419533
251	0.4141097132
252	0.4139676247
253	0.4136980393
254	0.4135218765
255	0.4131045176
256	0.4128025114
257	0.4123708932
258	0.4119825351
259	0.4118447005
260	0.411657066
261	0.4110603258
262	0.4105941354
263	0.4102563391
264	0.4100994527
265	0.4099484244
266	0.4098116925
267	0.4094590577
268	0.4090916632
269	0.4088374871
270	0.4085856304
271	0.4082093436
272	0.4079601571
273	0.407844765
274	0.4073611172
275	0.406766715
276	0.4061249588
277	0.4057898833
278	0.4055856598
279	0.4054211574
280	0.405278634
281	0.4048515052
282	0.4043926992
283	0.4042652385
284	0.4040092046
285	0.4038774744
286	0.4036321495
287	0.4034027777
288	0.4028967061
289	0.4025598083
290	0.4024244546
291	0.4022457085
292	0.4021087587
293	0.4019416392
294	0.4018063908
295	0.4012577081
296	0.4010965082
297	0.4009182348
298	0.4005829148
299	0.4003249433
300	0.4002141163
301	0.3999220075
302	0.3994980747
303	0.3992503483
304	0.3990652194
305	0.3985847733
306	0.3983416368
307	0.3981423313
308	0.3978891339
309	0.397680953
310	0.3972729693
311	0.3971672835
312	0.3967596251
313	0.3964153964
314	0.3962106459
315	0.3960678538
316	0.3958354537
317	0.3955097504
318	0.3954215802
319	0.3950471701
320	0.3948973902
321	0.3946504277
322	0.3945322064
323	0.3942645918
324	0.3939789301
325	0.3937835419
326	0.3936946905
327	0.3933333852
328	0.3930351631
329	0.3927864487
330	0.3925598184
331	0.3918366202
332	0.3916934325
333	0.3912457563
334	0.3909634119
335	0.3907661116
336	0.3904366327
337	0.390212673
338	0.3896523393
339	0.3890803561
340	0.389007361
341	0.3887953397
342	0.3886991563
343	0.3882942071
344	0.3879184581
345	0.3877473319
346	0.3873792008
347	0.3872112039
348	0.3871114677
349	0.3867672975
350	0.3865386135
351	0.3863760181
352	0.385998538
353	0.3855408878
354	0.3853779947
355	0.3848292598
356	0.3847117264
357	0.3844283295
358	0.384166286
359	0.3839579282
360	0.3838111346
361	0.3835812681
362	0.383410601
363	0.3832879707
364	0.3831083243
365	0.3829870117
366	0.3826523301
367	0.3824433753
368	0.3822429669
369	0.3821118287
370	0.3817883724
371	0.3816400316
372	0.3815006647
373	0.3813312076
374	0.3812513607
375	0.3810543573
376	0.3808826244
377	0.3807577622
378	0.3806150097
379	0.380489544
380	0.3803643817
381	0.380227006
382	0.3798887783
383	0.3794806064
384	0.3791612191
385	0.3788485208
386	0.3785296033
387	0.3784268531
388	0.3782718997
389	0.3781654907
390	0.3780230476
391	0.3779058534
392	0.3777564113
393	0.3773925042
394	0.3771779602
395	0.3768922149
396	0.3767047707
397	0.3764795554
398	0.3762943975
399	0.3761354891
400	0.3757833807
401	0.3756424182
402	0.3755146609
403	0.3753745687
404	0.3750810258
405	0.3748900767
406	0.3747354924
407	0.3746562937
408	0.374349509
409	0.3741878622
410	0.3739686882
411	0.3737911032
412	0.3735918548
413	0.3734814312
