iter	Passed	Remaining
0	59	59564
1	114	57135
2	177	59005
3	249	62125
4	310	61800
5	446	74001
6	516	73317
7	559	69323
8	599	66005
9	644	63792
10	683	61442
11	728	59968
12	772	58641
13	807	56894
14	860	56536
15	905	55718
16	976	56464
17	1057	57700
18	1106	57148
19	1164	57059
20	1208	56344
21	1279	56885
22	1318	55989
23	1356	55181
24	1397	54515
25	1434	53723
26	1471	53014
27	1507	52320
28	1547	51808
29	1583	51185
30	1619	50632
31	1673	50613
32	1722	50461
33	1764	50119
34	1805	49781
35	1849	49525
36	1888	49152
37	1930	48865
38	1969	48523
39	2013	48320
40	2075	48548
41	2136	48743
42	2201	49000
43	2245	48789
44	2283	48470
45	2327	48269
46	2363	47917
47	2396	47534
48	2431	47194
49	2468	46892
50	2513	46775
51	2551	46506
52	2585	46196
53	2618	45878
54	2657	45655
55	2710	45693
56	2764	45737
57	2812	45686
58	2846	45403
59	2882	45166
60	2922	44993
61	2958	44759
62	3075	45746
63	3139	45911
64	3175	45682
65	3211	45445
66	3244	45186
67	3281	44975
68	3330	44933
69	3385	44976
70	3444	45063
71	3525	45433
72	3586	45544
73	3629	45420
74	3668	45243
75	3716	45178
76	3757	45043
77	3792	44832
78	3826	44613
79	3865	44456
80	3901	44269
81	3943	44145
82	3984	44017
83	4021	43848
84	4059	43697
85	4093	43507
86	4141	43459
87	4176	43288
88	4216	43161
89	4259	43063
90	4300	42959
91	4337	42810
92	4375	42673
93	4415	42559
94	4452	42413
95	4497	42355
96	4572	42568
97	4631	42627
98	4688	42668
99	4739	42655
100	4774	42499
101	4815	42391
102	4851	42249
103	4887	42106
104	4922	41956
105	4967	41896
106	5006	41779
107	5045	41673
108	5079	41523
109	5118	41414
110	5161	41338
111	5212	41331
112	5249	41202
113	5311	41281
114	5397	41540
115	5470	41689
116	5517	41639
117	5747	42963
118	5866	43431
119	5909	43333
120	5949	43223
121	5996	43153
122	6045	43101
123	6092	43039
124	6299	44097
125	6483	44971
126	6535	44926
127	6595	44934
128	6648	44889
129	6708	44896
130	6759	44842
131	6816	44823
132	6874	44811
133	6921	44734
134	6967	44644
135	7020	44598
136	7067	44518
137	7117	44456
138	7173	44434
139	7211	44297
140	7257	44216
141	7303	44131
142	7345	44023
143	7381	43881
144	7423	43773
145	7464	43659
146	7513	43596
147	7558	43510
148	7593	43368
149	7631	43242
150	7679	43178
151	7719	43063
152	7758	42947
153	7792	42810
154	7829	42685
155	7871	42584
156	7912	42485
157	7955	42393
158	7994	42284
159	8033	42176
160	8073	42072
161	8113	41968
162	8155	41878
163	8193	41767
164	8232	41661
165	8335	41878
166	8416	41981
167	8479	41995
168	8524	41914
169	8573	41857
170	8620	41789
171	8669	41735
172	8717	41673
173	8773	41647
174	8823	41595
175	8869	41525
176	8908	41419
177	8949	41329
178	8987	41220
179	9030	41140
180	9104	41194
181	9154	41144
182	9200	41073
183	9286	41182
184	9381	41330
185	9485	41512
186	9580	41650
187	9638	41631
188	9696	41608
189	9751	41571
190	9796	41492
191	9852	41463
192	9993	41786
193	10051	41761
194	10137	41850
195	10181	41764
196	10219	41655
197	10265	41580
198	10306	41485
199	10352	41408
200	10390	41302
201	10430	41204
202	10483	41157
203	10526	41075
204	10566	40976
205	10603	40869
206	10767	41250
207	10872	41400
208	10934	41384
209	10984	41320
210	11044	41298
211	11097	41250
212	11147	41189
213	11205	41157
214	11261	41117
215	11312	41059
216	11364	41005
